snapshot_date,customer_id,receivable_balance,overdue_balance,max_overdue_days,open_document_count,data_source
2026-02-23,C001,56400.0,0,0,2,synthetic_enterprise_mock
2026-02-23,C002,73000.0,0,0,2,synthetic_enterprise_mock
2026-02-23,C003,144800.0,0,0,3,synthetic_enterprise_mock
2026-03-02,C001,114600.0,0,0,4,synthetic_enterprise_mock
2026-03-02,C002,152400.0,0,0,4,synthetic_enterprise_mock
2026-03-02,C003,309800.0,0,0,6,synthetic_enterprise_mock
2026-03-09,C001,171600.0,0,0,6,synthetic_enterprise_mock
2026-03-09,C002,225400.0,0,0,6,synthetic_enterprise_mock
2026-03-09,C003,451400.0,0,0,9,synthetic_enterprise_mock
2026-03-16,C001,231600.0,0,0,8,synthetic_enterprise_mock
2026-03-16,C002,303400.0,0,0,8,synthetic_enterprise_mock
2026-03-16,C003,594000.0,0,0,12,synthetic_enterprise_mock
2026-03-23,C001,272400.0,0,0,9,synthetic_enterprise_mock
2026-03-23,C002,380200.0,0,0,10,synthetic_enterprise_mock
2026-03-23,C003,736200.0,0,0,15,synthetic_enterprise_mock
2026-03-30,C001,261600.0,0,0,9,synthetic_enterprise_mock
2026-03-30,C002,458400.0,0,0,12,synthetic_enterprise_mock
2026-03-30,C003,613200.0,0,0,13,synthetic_enterprise_mock
2026-04-06,C001,301200.0,0,0,10,synthetic_enterprise_mock
2026-04-06,C002,548000.0,0,0,14,synthetic_enterprise_mock
2026-04-06,C003,724800.0,0,0,15,synthetic_enterprise_mock
2026-04-13,C001,255000.0,0,0,8,synthetic_enterprise_mock
2026-04-13,C002,551800.0,0,0,14,synthetic_enterprise_mock
2026-04-13,C003,637800.0,0,0,13,synthetic_enterprise_mock
2026-04-20,C001,291000.0,0,0,9,synthetic_enterprise_mock
2026-04-20,C002,502600.0,0,0,13,synthetic_enterprise_mock
2026-04-20,C003,750800.0,0,0,15,synthetic_enterprise_mock
2026-04-27,C001,267000.0,0,0,9,synthetic_enterprise_mock
2026-04-27,C002,548200.0,0,0,14,synthetic_enterprise_mock
2026-04-27,C003,696800.0,0,0,14,synthetic_enterprise_mock
2026-05-04,C001,264000.0,0,0,9,synthetic_enterprise_mock
2026-05-04,C002,499000.0,0,0,13,synthetic_enterprise_mock
2026-05-04,C003,639400.0,0,0,13,synthetic_enterprise_mock
2026-05-11,C001,252000.0,0,0,9,synthetic_enterprise_mock
2026-05-11,C002,494000.0,0,0,13,synthetic_enterprise_mock
2026-05-11,C003,679200.0,0,0,14,synthetic_enterprise_mock
2026-05-18,C001,285000.0,0,0,10,synthetic_enterprise_mock
2026-05-18,C002,535800.0,0,0,14,synthetic_enterprise_mock
2026-05-18,C003,579200.0,0,0,13,synthetic_enterprise_mock
2026-05-25,C001,225600.0,0,0,8,synthetic_enterprise_mock
2026-05-25,C002,509200.0,0,0,14,synthetic_enterprise_mock
2026-05-25,C003,548000.0,0,0,13,synthetic_enterprise_mock
2026-06-01,C001,279600.0,0,0,10,synthetic_enterprise_mock
2026-06-01,C002,443600.0,0,0,13,synthetic_enterprise_mock
2026-06-01,C003,619200.0,0,0,15,synthetic_enterprise_mock
2026-06-08,C001,239400.0,0,0,9,synthetic_enterprise_mock
2026-06-08,C002,443800.0,0,0,13,synthetic_enterprise_mock
2026-06-08,C003,712800.0,150600.0,5,18,synthetic_enterprise_mock
2026-06-15,C001,275400.0,0,0,10,synthetic_enterprise_mock
2026-06-15,C002,460000.0,0,0,14,synthetic_enterprise_mock
2026-06-15,C003,713400.0,188000.0,12,19,synthetic_enterprise_mock
2026-06-22,C001,253200.0,0,0,9,synthetic_enterprise_mock
2026-06-22,C002,386800.0,0,0,13,synthetic_enterprise_mock
2026-06-22,C003,798400.0,304400.0,19,22,synthetic_enterprise_mock
2026-06-29,C001,238200.0,0,0,9,synthetic_enterprise_mock
2026-06-29,C002,404600.0,0,0,14,synthetic_enterprise_mock
2026-06-29,C003,833200.0,370200.0,26,24,synthetic_enterprise_mock
2026-07-06,C001,231600.0,0,0,8,synthetic_enterprise_mock
2026-07-06,C002,373000.0,0,0,14,synthetic_enterprise_mock
2026-07-06,C003,832200.0,400200.0,33,25,synthetic_enterprise_mock
2026-07-13,C001,232800.0,0,0,8,synthetic_enterprise_mock
2026-07-13,C002,350400.0,0,0,14,synthetic_enterprise_mock
2026-07-13,C003,870200.0,452200.0,40,27,synthetic_enterprise_mock
2026-07-20,C001,273600.0,0,0,9,synthetic_enterprise_mock
2026-07-20,C002,292600.0,0,0,13,synthetic_enterprise_mock
2026-07-20,C003,865800.0,479400.0,47,28,synthetic_enterprise_mock
2026-07-27,C001,279600.0,0,0,9,synthetic_enterprise_mock
2026-07-27,C002,263600.0,0,0,13,synthetic_enterprise_mock
2026-07-27,C003,890400.0,532400.0,54,30,synthetic_enterprise_mock
2026-08-03,C001,259800.0,0,0,9,synthetic_enterprise_mock
2026-08-03,C002,271200.0,0,0,14,synthetic_enterprise_mock
2026-08-03,C003,877400.0,553600.0,61,31,synthetic_enterprise_mock
