payment_id,payment_date,customer_id,payment_amount,related_document_id,data_source
P0001,2026-03-25,C001,36000,I0001,synthetic_enterprise_mock
P0002,2026-03-23,C001,20400,I0002,synthetic_enterprise_mock
P0003,2026-04-08,C002,28800,I0003,synthetic_enterprise_mock
P0004,2026-04-07,C002,44200,I0004,synthetic_enterprise_mock
P0005,2026-03-25,C003,57200,I0005,synthetic_enterprise_mock
P0006,2026-03-24,C003,51200,I0006,synthetic_enterprise_mock
P0007,2026-03-25,C003,36400,I0007,synthetic_enterprise_mock
P0008,2026-03-29,C001,37800,I0008,synthetic_enterprise_mock
P0009,2026-03-31,C001,20400,I0009,synthetic_enterprise_mock
P0010,2026-04-15,C002,30000,I0010,synthetic_enterprise_mock
P0011,2026-04-16,C002,49400,I0011,synthetic_enterprise_mock
P0012,2026-03-29,C003,65000,I0012,synthetic_enterprise_mock
P0013,2026-03-29,C003,60800,I0013,synthetic_enterprise_mock
P0014,2026-04-01,C003,39200,I0014,synthetic_enterprise_mock
P0015,2026-04-07,C001,37800,I0015,synthetic_enterprise_mock
P0016,2026-04-07,C001,19200,I0016,synthetic_enterprise_mock
P0017,2026-04-21,C002,28800,I0017,synthetic_enterprise_mock
P0018,2026-04-20,C002,44200,I0018,synthetic_enterprise_mock
P0019,2026-04-07,C003,57200,I0019,synthetic_enterprise_mock
P0020,2026-04-08,C003,48000,I0020,synthetic_enterprise_mock
P0021,2026-04-07,C003,36400,I0021,synthetic_enterprise_mock
P0022,2026-04-12,C001,39600,I0022,synthetic_enterprise_mock
P0023,2026-04-13,C001,20400,I0023,synthetic_enterprise_mock
P0024,2026-04-29,C002,31200,I0024,synthetic_enterprise_mock
P0025,2026-04-29,C002,46800,I0025,synthetic_enterprise_mock
P0026,2026-04-15,C003,54600,I0026,synthetic_enterprise_mock
P0027,2026-04-12,C003,54400,I0027,synthetic_enterprise_mock
P0028,2026-04-13,C003,33600,I0028,synthetic_enterprise_mock
P0029,2026-04-21,C001,39600,I0029,synthetic_enterprise_mock
P0030,2026-04-19,C001,21600,I0030,synthetic_enterprise_mock
P0031,2026-05-06,C002,30000,I0031,synthetic_enterprise_mock
P0032,2026-05-04,C002,46800,I0032,synthetic_enterprise_mock
P0033,2026-04-21,C003,54600,I0033,synthetic_enterprise_mock
P0034,2026-04-22,C003,51200,I0034,synthetic_enterprise_mock
P0035,2026-04-22,C003,36400,I0035,synthetic_enterprise_mock
P0036,2026-04-27,C001,41400,I0036,synthetic_enterprise_mock
P0037,2026-04-28,C001,21600,I0037,synthetic_enterprise_mock
P0038,2026-05-14,C002,28800,I0038,synthetic_enterprise_mock
P0039,2026-05-11,C002,49400,I0039,synthetic_enterprise_mock
P0040,2026-04-29,C003,57200,I0040,synthetic_enterprise_mock
P0041,2026-04-27,C003,51200,I0041,synthetic_enterprise_mock
P0042,2026-04-29,C003,39200,I0042,synthetic_enterprise_mock
P0043,2026-05-04,C001,39600,I0043,synthetic_enterprise_mock
P0044,2026-05-06,C001,20400,I0044,synthetic_enterprise_mock
P0045,2026-05-21,C002,32400,I0045,synthetic_enterprise_mock
P0046,2026-05-21,C002,57200,I0046,synthetic_enterprise_mock
P0047,2026-05-03,C003,57200,I0047,synthetic_enterprise_mock
P0048,2026-05-03,C003,54400,I0048,synthetic_enterprise_mock
P0049,2026-05-06,C003,39200,I0049,synthetic_enterprise_mock
P0050,2026-05-10,C001,46800,I0050,synthetic_enterprise_mock
P0051,2026-05-12,C001,24000,I0051,synthetic_enterprise_mock
P0052,2026-05-26,C002,30000,I0052,synthetic_enterprise_mock
P0053,2026-05-26,C002,46800,I0053,synthetic_enterprise_mock
P0054,2026-05-11,C003,54600,I0054,synthetic_enterprise_mock
P0055,2026-05-12,C003,54400,I0055,synthetic_enterprise_mock
P0056,2026-05-13,C003,33600,I0056,synthetic_enterprise_mock
P0057,2026-05-19,C001,36000,I0057,synthetic_enterprise_mock
P0058,2026-05-20,C001,21600,I0058,synthetic_enterprise_mock
P0059,2026-06-02,C002,27600,I0059,synthetic_enterprise_mock
P0060,2026-06-01,C002,46800,I0060,synthetic_enterprise_mock
P0061,2026-05-18,C003,67600,I0061,synthetic_enterprise_mock
P0062,2026-05-17,C003,60800,I0062,synthetic_enterprise_mock
P0063,2026-05-19,C003,39200,I0063,synthetic_enterprise_mock
P0064,2026-05-24,C001,37800,I0064,synthetic_enterprise_mock
P0065,2026-05-24,C001,19200,I0065,synthetic_enterprise_mock
P0066,2026-06-08,C002,27600,I0066,synthetic_enterprise_mock
