sale_id,sale_date,customer_id,sales_amount,sku_id,quantity,region,channel_tier,data_source
O0001,2026-02-23,C001,36000,S001,20,华东,一级,synthetic_enterprise_mock
O0002,2026-02-23,C001,20400,S002,17,华东,一级,synthetic_enterprise_mock
O0003,2026-02-23,C002,28800,S002,24,华南,二级,synthetic_enterprise_mock
O0004,2026-02-23,C002,44200,S003,17,华南,二级,synthetic_enterprise_mock
O0005,2026-02-23,C003,57200,S003,22,华东,二级,synthetic_enterprise_mock
O0006,2026-02-23,C003,51200,S004,16,华东,二级,synthetic_enterprise_mock
O0007,2026-02-23,C003,36400,S005,13,华东,二级,synthetic_enterprise_mock
O0008,2026-03-02,C001,37800,S001,21,华东,一级,synthetic_enterprise_mock
O0009,2026-03-02,C001,20400,S002,17,华东,一级,synthetic_enterprise_mock
O0010,2026-03-02,C002,30000,S002,25,华南,二级,synthetic_enterprise_mock
O0011,2026-03-02,C002,49400,S003,19,华南,二级,synthetic_enterprise_mock
O0012,2026-03-02,C003,65000,S003,25,华东,二级,synthetic_enterprise_mock
O0013,2026-03-02,C003,60800,S004,19,华东,二级,synthetic_enterprise_mock
O0014,2026-03-02,C003,39200,S005,14,华东,二级,synthetic_enterprise_mock
O0015,2026-03-09,C001,37800,S001,21,华东,一级,synthetic_enterprise_mock
O0016,2026-03-09,C001,19200,S002,16,华东,一级,synthetic_enterprise_mock
O0017,2026-03-09,C002,28800,S002,24,华南,二级,synthetic_enterprise_mock
O0018,2026-03-09,C002,44200,S003,17,华南,二级,synthetic_enterprise_mock
O0019,2026-03-09,C003,57200,S003,22,华东,二级,synthetic_enterprise_mock
O0020,2026-03-09,C003,48000,S004,15,华东,二级,synthetic_enterprise_mock
O0021,2026-03-09,C003,36400,S005,13,华东,二级,synthetic_enterprise_mock
O0022,2026-03-16,C001,39600,S001,22,华东,一级,synthetic_enterprise_mock
O0023,2026-03-16,C001,20400,S002,17,华东,一级,synthetic_enterprise_mock
O0024,2026-03-16,C002,31200,S002,26,华南,二级,synthetic_enterprise_mock
O0025,2026-03-16,C002,46800,S003,18,华南,二级,synthetic_enterprise_mock
O0026,2026-03-16,C003,54600,S003,21,华东,二级,synthetic_enterprise_mock
O0027,2026-03-16,C003,54400,S004,17,华东,二级,synthetic_enterprise_mock
O0028,2026-03-16,C003,33600,S005,12,华东,二级,synthetic_enterprise_mock
O0029,2026-03-23,C001,39600,S001,22,华东,一级,synthetic_enterprise_mock
O0030,2026-03-23,C001,21600,S002,18,华东,一级,synthetic_enterprise_mock
O0031,2026-03-23,C002,30000,S002,25,华南,二级,synthetic_enterprise_mock
O0032,2026-03-23,C002,46800,S003,18,华南,二级,synthetic_enterprise_mock
O0033,2026-03-23,C003,54600,S003,21,华东,二级,synthetic_enterprise_mock
O0034,2026-03-23,C003,51200,S004,16,华东,二级,synthetic_enterprise_mock
O0035,2026-03-23,C003,36400,S005,13,华东,二级,synthetic_enterprise_mock
O0036,2026-03-30,C001,41400,S001,23,华东,一级,synthetic_enterprise_mock
O0037,2026-03-30,C001,21600,S002,18,华东,一级,synthetic_enterprise_mock
O0038,2026-03-30,C002,28800,S002,24,华南,二级,synthetic_enterprise_mock
O0039,2026-03-30,C002,49400,S003,19,华南,二级,synthetic_enterprise_mock
O0040,2026-03-30,C003,57200,S003,22,华东,二级,synthetic_enterprise_mock
O0041,2026-03-30,C003,51200,S004,16,华东,二级,synthetic_enterprise_mock
O0042,2026-03-30,C003,39200,S005,14,华东,二级,synthetic_enterprise_mock
O0043,2026-04-06,C001,39600,S001,22,华东,一级,synthetic_enterprise_mock
O0044,2026-04-06,C001,20400,S002,17,华东,一级,synthetic_enterprise_mock
O0045,2026-04-06,C002,32400,S002,27,华南,二级,synthetic_enterprise_mock
O0046,2026-04-06,C002,57200,S003,22,华南,二级,synthetic_enterprise_mock
O0047,2026-04-06,C003,57200,S003,22,华东,二级,synthetic_enterprise_mock
O0048,2026-04-06,C003,54400,S004,17,华东,二级,synthetic_enterprise_mock
O0049,2026-04-06,C003,39200,S005,14,华东,二级,synthetic_enterprise_mock
O0050,2026-04-13,C001,46800,S001,26,华东,一级,synthetic_enterprise_mock
O0051,2026-04-13,C001,24000,S002,20,华东,一级,synthetic_enterprise_mock
O0052,2026-04-13,C002,30000,S002,25,华南,二级,synthetic_enterprise_mock
O0053,2026-04-13,C002,46800,S003,18,华南,二级,synthetic_enterprise_mock
O0054,2026-04-13,C003,54600,S003,21,华东,二级,synthetic_enterprise_mock
O0055,2026-04-13,C003,54400,S004,17,华东,二级,synthetic_enterprise_mock
O0056,2026-04-13,C003,33600,S005,12,华东,二级,synthetic_enterprise_mock
O0057,2026-04-20,C001,36000,S001,20,华东,一级,synthetic_enterprise_mock
O0058,2026-04-20,C001,21600,S002,18,华东,一级,synthetic_enterprise_mock
O0059,2026-04-20,C002,27600,S002,23,华南,二级,synthetic_enterprise_mock
O0060,2026-04-20,C002,46800,S003,18,华南,二级,synthetic_enterprise_mock
O0061,2026-04-20,C003,67600,S003,26,华东,二级,synthetic_enterprise_mock
O0062,2026-04-20,C003,60800,S004,19,华东,二级,synthetic_enterprise_mock
O0063,2026-04-20,C003,39200,S005,14,华东,二级,synthetic_enterprise_mock
O0064,2026-04-27,C001,37800,S001,21,华东,一级,synthetic_enterprise_mock
O0065,2026-04-27,C001,19200,S002,16,华东,一级,synthetic_enterprise_mock
O0066,2026-04-27,C002,27600,S002,23,华南,二级,synthetic_enterprise_mock
O0067,2026-04-27,C002,46800,S003,18,华南,二级,synthetic_enterprise_mock
O0068,2026-04-27,C003,54600,S003,21,华东,二级,synthetic_enterprise_mock
O0069,2026-04-27,C003,51200,S004,16,华东,二级,synthetic_enterprise_mock
O0070,2026-04-27,C003,33600,S005,12,华东,二级,synthetic_enterprise_mock
O0071,2026-05-04,C001,37800,S001,21,华东,一级,synthetic_enterprise_mock
O0072,2026-05-04,C001,20400,S002,17,华东,一级,synthetic_enterprise_mock
O0073,2026-05-04,C002,28800,S002,24,华南,二级,synthetic_enterprise_mock
O0074,2026-05-04,C002,46800,S003,18,华南,二级,synthetic_enterprise_mock
O0075,2026-05-04,C003,59800,S003,23,华东,二级,synthetic_enterprise_mock
O0076,2026-05-04,C003,54400,S004,17,华东,二级,synthetic_enterprise_mock
O0077,2026-05-04,C003,36400,S005,13,华东,二级,synthetic_enterprise_mock
O0078,2026-05-11,C001,36000,S001,20,华东,一级,synthetic_enterprise_mock
O0079,2026-05-11,C001,19200,S002,16,华东,一级,synthetic_enterprise_mock
O0080,2026-05-11,C002,27600,S002,23,华南,二级,synthetic_enterprise_mock
O0081,2026-05-11,C002,46800,S003,18,华南,二级,synthetic_enterprise_mock
O0082,2026-05-11,C003,52000,S003,20,华东,二级,synthetic_enterprise_mock
O0083,2026-05-11,C003,48000,S004,15,华东,二级,synthetic_enterprise_mock
O0084,2026-05-11,C003,33600,S005,12,华东,二级,synthetic_enterprise_mock
O0085,2026-05-18,C001,37800,S001,21,华东,一级,synthetic_enterprise_mock
O0086,2026-05-18,C001,19200,S002,16,华东,一级,synthetic_enterprise_mock
O0087,2026-05-18,C002,26400,S002,22,华南,二级,synthetic_enterprise_mock
O0088,2026-05-18,C002,44200,S003,17,华南,二级,synthetic_enterprise_mock
O0089,2026-05-18,C003,46800,S003,18,华东,二级,synthetic_enterprise_mock
O0090,2026-05-18,C003,41600,S004,13,华东,二级,synthetic_enterprise_mock
O0091,2026-05-18,C003,28000,S005,10,华东,二级,synthetic_enterprise_mock
O0092,2026-05-25,C001,36000,S001,20,华东,一级,synthetic_enterprise_mock
O0093,2026-05-25,C001,19200,S002,16,华东,一级,synthetic_enterprise_mock
O0094,2026-05-25,C002,24000,S002,20,华南,二级,synthetic_enterprise_mock
O0095,2026-05-25,C002,39000,S003,15,华南,二级,synthetic_enterprise_mock
O0096,2026-05-25,C003,44200,S003,17,华东,二级,synthetic_enterprise_mock
O0097,2026-05-25,C003,41600,S004,13,华东,二级,synthetic_enterprise_mock
O0098,2026-05-25,C003,28000,S005,10,华东,二级,synthetic_enterprise_mock
O0099,2026-06-01,C001,36000,S001,20,华东,一级,synthetic_enterprise_mock
O0100,2026-06-01,C001,18000,S002,15,华东,一级,synthetic_enterprise_mock
O0101,2026-06-01,C002,21600,S002,18,华南,二级,synthetic_enterprise_mock
O0102,2026-06-01,C002,36400,S003,14,华南,二级,synthetic_enterprise_mock
O0103,2026-06-01,C003,41600,S003,16,华东,二级,synthetic_enterprise_mock
O0104,2026-06-01,C003,35200,S004,11,华东,二级,synthetic_enterprise_mock
O0105,2026-06-01,C003,28000,S005,10,华东,二级,synthetic_enterprise_mock
O0106,2026-06-08,C001,36000,S001,20,华东,一级,synthetic_enterprise_mock
O0107,2026-06-08,C001,18000,S002,15,华东,一级,synthetic_enterprise_mock
O0108,2026-06-08,C002,21600,S002,18,华南,二级,synthetic_enterprise_mock
O0109,2026-06-08,C002,33800,S003,13,华南,二级,synthetic_enterprise_mock
O0110,2026-06-08,C003,36400,S003,14,华东,二级,synthetic_enterprise_mock
O0111,2026-06-08,C003,32000,S004,10,华东,二级,synthetic_enterprise_mock
O0112,2026-06-08,C003,25200,S005,9,华东,二级,synthetic_enterprise_mock
O0113,2026-06-15,C001,36000,S001,20,华东,一级,synthetic_enterprise_mock
O0114,2026-06-15,C001,19200,S002,16,华东,一级,synthetic_enterprise_mock
O0115,2026-06-15,C002,24000,S002,20,华南,二级,synthetic_enterprise_mock
O0116,2026-06-15,C002,39000,S003,15,华南,二级,synthetic_enterprise_mock
O0117,2026-06-15,C003,36400,S003,14,华东,二级,synthetic_enterprise_mock
O0118,2026-06-15,C003,35200,S004,11,华东,二级,synthetic_enterprise_mock
O0119,2026-06-15,C003,25200,S005,9,华东,二级,synthetic_enterprise_mock
O0120,2026-06-22,C001,36000,S001,20,华东,一级,synthetic_enterprise_mock
O0121,2026-06-22,C001,18000,S002,15,华东,一级,synthetic_enterprise_mock
O0122,2026-06-22,C002,18000,S002,15,华南,二级,synthetic_enterprise_mock
O0123,2026-06-22,C002,31200,S003,12,华南,二级,synthetic_enterprise_mock
O0124,2026-06-22,C003,33800,S003,13,华东,二级,synthetic_enterprise_mock
O0125,2026-06-22,C003,28800,S004,9,华东,二级,synthetic_enterprise_mock
O0126,2026-06-22,C003,22400,S005,8,华东,二级,synthetic_enterprise_mock
O0127,2026-06-29,C001,37800,S001,21,华东,一级,synthetic_enterprise_mock
O0128,2026-06-29,C001,19200,S002,16,华东,一级,synthetic_enterprise_mock
O0129,2026-06-29,C002,16800,S002,14,华南,二级,synthetic_enterprise_mock
O0130,2026-06-29,C002,28600,S003,11,华南,二级,synthetic_enterprise_mock
O0131,2026-06-29,C003,31200,S003,12,华东,二级,synthetic_enterprise_mock
O0132,2026-06-29,C003,32000,S004,10,华东,二级,synthetic_enterprise_mock
O0133,2026-06-29,C003,19600,S005,7,华东,二级,synthetic_enterprise_mock
O0134,2026-07-06,C001,41400,S001,23,华东,一级,synthetic_enterprise_mock
O0135,2026-07-06,C001,24000,S002,20,华东,一级,synthetic_enterprise_mock
O0136,2026-07-06,C002,15600,S002,13,华南,二级,synthetic_enterprise_mock
O0137,2026-07-06,C002,23400,S003,9,华南,二级,synthetic_enterprise_mock
