snapshot_date,customer_id,sku_id,on_hand_qty,in_transit_qty,avg_inventory_age_days,data_source
2026-02-23,C001,S001,80,3,28.0,synthetic
2026-02-23,C001,S002,64,3,28.0,synthetic
2026-02-23,C002,S002,96,4,28.0,synthetic
2026-02-23,C002,S003,71,2,28.0,synthetic
2026-02-23,C003,S003,78,3,28.0,synthetic
2026-02-23,C003,S004,61,3,28.0,synthetic
2026-02-23,C003,S005,46,2,28.0,synthetic
2026-03-02,C001,S001,78,3,28.0,synthetic
2026-03-02,C001,S002,65,3,28.0,synthetic
2026-03-02,C002,S002,94,3,28.0,synthetic
2026-03-02,C002,S003,71,3,28.0,synthetic
2026-03-02,C003,S003,76,3,28.0,synthetic
2026-03-02,C003,S004,63,3,28.0,synthetic
2026-03-02,C003,S005,48,2,28.0,synthetic
2026-03-09,C001,S001,76,3,28.0,synthetic
2026-03-09,C001,S002,66,3,28.0,synthetic
2026-03-09,C002,S002,92,3,28.0,synthetic
2026-03-09,C002,S003,71,3,28.0,synthetic
2026-03-09,C003,S003,77,3,28.0,synthetic
2026-03-09,C003,S004,62,2,28.0,synthetic
2026-03-09,C003,S005,47,2,28.0,synthetic
2026-03-16,C001,S001,74,3,28.0,synthetic
2026-03-16,C001,S002,66,3,28.0,synthetic
2026-03-16,C002,S002,91,4,28.0,synthetic
2026-03-16,C002,S003,73,3,28.0,synthetic
2026-03-16,C003,S003,79,3,28.0,synthetic
2026-03-16,C003,S004,60,2,28.0,synthetic
2026-03-16,C003,S005,45,2,28.0,synthetic
2026-03-23,C001,S001,75,3,28.0,synthetic
2026-03-23,C001,S002,67,3,28.0,synthetic
2026-03-23,C002,S002,93,4,28.0,synthetic
2026-03-23,C002,S003,75,3,28.0,synthetic
2026-03-23,C003,S003,79,3,28.0,synthetic
2026-03-23,C003,S004,59,2,28.0,synthetic
2026-03-23,C003,S005,45,2,28.0,synthetic
2026-03-30,C001,S001,77,4,28.0,synthetic
2026-03-30,C001,S002,69,3,28.0,synthetic
2026-03-30,C002,S002,91,3,28.0,synthetic
2026-03-30,C002,S003,77,3,28.0,synthetic
2026-03-30,C003,S003,77,3,28.0,synthetic
2026-03-30,C003,S004,61,3,28.0,synthetic
2026-03-30,C003,S005,47,2,28.0,synthetic
2026-04-06,C001,S001,75,3,28.0,synthetic
2026-04-06,C001,S002,71,3,28.0,synthetic
2026-04-06,C002,S002,90,4,28.0,synthetic
2026-04-06,C002,S003,75,3,28.0,synthetic
2026-04-06,C003,S003,76,3,28.0,synthetic
2026-04-06,C003,S004,60,2,28.0,synthetic
2026-04-06,C003,S005,47,2,28.0,synthetic
2026-04-13,C001,S001,73,4,28.0,synthetic
2026-04-13,C001,S002,72,3,28.0,synthetic
2026-04-13,C002,S002,91,4,28.0,synthetic
2026-04-13,C002,S003,75,3,28.0,synthetic
2026-04-13,C003,S003,76,3,28.0,synthetic
2026-04-13,C003,S004,60,3,28.0,synthetic
2026-04-13,C003,S005,48,2,28.0,synthetic
2026-04-20,C001,S001,71,3,28.0,synthetic
2026-04-20,C001,S002,70,2,28.0,synthetic
2026-04-20,C002,S002,92,4,28.0,synthetic
2026-04-20,C002,S003,73,2,28.0,synthetic
2026-04-20,C003,S003,74,4,28.0,synthetic
2026-04-20,C003,S004,61,3,28.0,synthetic
2026-04-20,C003,S005,46,2,28.0,synthetic
2026-04-27,C001,S001,70,3,28.0,synthetic
2026-04-27,C001,S002,68,2,28.0,synthetic
2026-04-27,C002,S002,90,3,28.0,synthetic
2026-04-27,C002,S003,71,2,28.0,synthetic
2026-04-27,C003,S003,74,3,28.0,synthetic
2026-04-27,C003,S004,59,2,28.0,synthetic
2026-04-27,C003,S005,44,2,28.0,synthetic
2026-05-04,C001,S001,72,3,28.0,synthetic
2026-05-04,C001,S002,68,3,28.0,synthetic
2026-05-04,C002,S002,89,3,28.0,synthetic
2026-05-04,C002,S003,71,3,28.0,synthetic
2026-05-04,C003,S003,75,4,28.0,synthetic
2026-05-04,C003,S004,58,2,28.0,synthetic
2026-05-04,C003,S005,46,2,28.0,synthetic
2026-05-11,C001,S001,70,3,28.0,synthetic
2026-05-11,C001,S002,67,2,28.0,synthetic
2026-05-11,C002,S002,87,3,28.0,synthetic
2026-05-11,C002,S003,70,3,28.0,synthetic
2026-05-11,C003,S003,77,3,28.0,synthetic
2026-05-11,C003,S004,59,2,28.0,synthetic
2026-05-11,C003,S005,47,2,28.0,synthetic
2026-05-18,C001,S001,72,3,28.0,synthetic
2026-05-18,C001,S002,66,2,28.0,synthetic
2026-05-18,C002,S002,85,3,28.0,synthetic
2026-05-18,C002,S003,69,2,28.0,synthetic
2026-05-18,C003,S003,78,3,28.0,synthetic
2026-05-18,C003,S004,59,2,28.0,synthetic
2026-05-18,C003,S005,49,2,28.0,synthetic
2026-05-25,C001,S001,72,3,28.0,synthetic
2026-05-25,C001,S002,65,2,28.0,synthetic
2026-05-25,C002,S002,87,3,28.0,synthetic
2026-05-25,C002,S003,71,3,28.0,synthetic
2026-05-25,C003,S003,77,2,28.0,synthetic
2026-05-25,C003,S004,61,2,28.0,synthetic
2026-05-25,C003,S005,48,1,28.0,synthetic
2026-06-01,C001,S001,71,3,28.0,synthetic
2026-06-01,C001,S002,63,2,28.0,synthetic
2026-06-01,C002,S002,103,5,40.5,synthetic
2026-06-01,C002,S003,83,4,42.4,synthetic
2026-06-01,C003,S003,94,5,41.9,synthetic
2026-06-01,C003,S004,74,4,49.5,synthetic
2026-06-01,C003,S005,58,3,41.2,synthetic
2026-06-08,C001,S001,72,3,28.0,synthetic
2026-06-08,C001,S002,65,3,28.0,synthetic
2026-06-08,C002,S002,119,5,54.5,synthetic
2026-06-08,C002,S003,95,4,60.8,synthetic
2026-06-08,C003,S003,111,5,66.4,synthetic
2026-06-08,C003,S004,87,3,73.3,synthetic
2026-06-08,C003,S005,68,3,63.0,synthetic
2026-06-15,C001,S001,70,3,28.0,synthetic
2026-06-15,C001,S002,66,3,28.0,synthetic
2026-06-15,C002,S002,135,5,61.8,synthetic
2026-06-15,C002,S003,107,4,65.2,synthetic
2026-06-15,C003,S003,128,5,83.3,synthetic
2026-06-15,C003,S004,100,4,82.8,synthetic
2026-06-15,C003,S005,78,3,79.0,synthetic
2026-06-22,C001,S001,71,3,28.0,synthetic
2026-06-22,C001,S002,68,3,28.0,synthetic
2026-06-22,C002,S002,151,5,97.6,synthetic
2026-06-22,C002,S003,119,4,96.2,synthetic
2026-06-22,C003,S003,145,4,107.4,synthetic
2026-06-22,C003,S004,113,3,120.0,synthetic
2026-06-22,C003,S005,88,3,106.0,synthetic
2026-06-29,C001,S001,70,3,28.0,synthetic
2026-06-29,C001,S002,69,3,28.0,synthetic
2026-06-29,C002,S002,167,4,120.4,synthetic
2026-06-29,C002,S003,131,3,120.2,synthetic
2026-06-29,C003,S003,162,4,134.5,synthetic
2026-06-29,C003,S004,126,3,126.4,synthetic
2026-06-29,C003,S005,98,3,139.0,synthetic
2026-07-06,C001,S001,72,4,28.0,synthetic
2026-07-06,C001,S002,69,3,28.0,synthetic
2026-07-06,C002,S002,183,4,145.7,synthetic
2026-07-06,C002,S003,143,3,162.0,synthetic
2026-07-06,C003,S003,179,4,165.5,synthetic
2026-07-06,C003,S004,139,3,175.4,synthetic
2026-07-06,C003,S005,108,3,157.9,synthetic
2026-07-13,C001,S001,73,3,28.0,synthetic
2026-07-13,C001,S002,69,3,28.0,synthetic
2026-07-13,C002,S002,199,4,174.2,synthetic
2026-07-13,C002,S003,155,3,164.5,synthetic
2026-07-13,C003,S003,196,4,172.0,synthetic
2026-07-13,C003,S004,152,3,177.0,synthetic
2026-07-13,C003,S005,118,3,176.7,synthetic
2026-07-20,C001,S001,72,3,28.0,synthetic
2026-07-20,C001,S002,67,2,28.0,synthetic
2026-07-20,C002,S002,215,4,206.9,synthetic
2026-07-20,C002,S003,167,3,218.9,synthetic
2026-07-20,C003,S003,213,4,222.7,synthetic
2026-07-20,C003,S004,165,3,243.1,synthetic
2026-07-20,C003,S005,128,2,223.0,synthetic
2026-07-27,C001,S001,74,4,28.0,synthetic
2026-07-27,C001,S002,66,3,28.0,synthetic
2026-07-27,C002,S002,231,4,268.0,synthetic
2026-07-27,C002,S003,179,3,238.4,synthetic
2026-07-27,C003,S003,230,4,267.0,synthetic
2026-07-27,C003,S004,178,3,304.0,synthetic
2026-07-27,C003,S005,138,2,285.4,synthetic
2026-08-03,C001,S001,72,3,28.0,synthetic
2026-08-03,C001,S002,66,3,28.0,synthetic
2026-08-03,C002,S002,247,4,290.0,synthetic
2026-08-03,C002,S003,191,3,257.9,synthetic
2026-08-03,C003,S003,247,4,360.6,synthetic
2026-08-03,C003,S004,191,3,329.5,synthetic
2026-08-03,C003,S005,148,2,376.0,synthetic
