invoice_id,order_id,customer_id,issue_date,due_date,invoice_amount,open_amount,dispute_flag,data_source
I0001,O0001,C001,2026-02-23,2026-03-25,36000,0,0,synthetic
I0002,O0002,C001,2026-02-23,2026-03-25,20400,0,0,synthetic
I0003,O0003,C002,2026-02-23,2026-04-09,28800,0,0,synthetic
I0004,O0004,C002,2026-02-23,2026-04-09,44200,0,0,synthetic
I0005,O0005,C003,2026-02-23,2026-03-25,57200,0,0,synthetic
I0006,O0006,C003,2026-02-23,2026-03-25,51200,0,0,synthetic
I0007,O0007,C003,2026-02-23,2026-03-25,36400,0,0,synthetic
I0008,O0008,C001,2026-03-02,2026-04-01,37800,0,0,synthetic
I0009,O0009,C001,2026-03-02,2026-04-01,20400,0,0,synthetic
I0010,O0010,C002,2026-03-02,2026-04-16,30000,0,0,synthetic
I0011,O0011,C002,2026-03-02,2026-04-16,49400,0,0,synthetic
I0012,O0012,C003,2026-03-02,2026-04-01,65000,0,0,synthetic
I0013,O0013,C003,2026-03-02,2026-04-01,60800,0,0,synthetic
I0014,O0014,C003,2026-03-02,2026-04-01,39200,0,0,synthetic
I0015,O0015,C001,2026-03-09,2026-04-08,37800,0,0,synthetic
I0016,O0016,C001,2026-03-09,2026-04-08,19200,0,0,synthetic
I0017,O0017,C002,2026-03-09,2026-04-23,28800,0,0,synthetic
I0018,O0018,C002,2026-03-09,2026-04-23,44200,0,0,synthetic
I0019,O0019,C003,2026-03-09,2026-04-08,57200,0,0,synthetic
I0020,O0020,C003,2026-03-09,2026-04-08,48000,0,0,synthetic
I0021,O0021,C003,2026-03-09,2026-04-08,36400,0,0,synthetic
I0022,O0022,C001,2026-03-16,2026-04-15,39600,0,0,synthetic
I0023,O0023,C001,2026-03-16,2026-04-15,20400,0,0,synthetic
I0024,O0024,C002,2026-03-16,2026-04-30,31200,0,0,synthetic
I0025,O0025,C002,2026-03-16,2026-04-30,46800,0,0,synthetic
I0026,O0026,C003,2026-03-16,2026-04-15,54600,0,0,synthetic
I0027,O0027,C003,2026-03-16,2026-04-15,54400,0,0,synthetic
I0028,O0028,C003,2026-03-16,2026-04-15,33600,0,0,synthetic
I0029,O0029,C001,2026-03-23,2026-04-22,39600,0,0,synthetic
I0030,O0030,C001,2026-03-23,2026-04-22,21600,0,0,synthetic
I0031,O0031,C002,2026-03-23,2026-05-07,30000,0,0,synthetic
I0032,O0032,C002,2026-03-23,2026-05-07,46800,0,0,synthetic
I0033,O0033,C003,2026-03-23,2026-04-22,54600,0,0,synthetic
I0034,O0034,C003,2026-03-23,2026-04-22,51200,0,0,synthetic
I0035,O0035,C003,2026-03-23,2026-04-22,36400,0,0,synthetic
I0036,O0036,C001,2026-03-30,2026-04-29,41400,0,0,synthetic
I0037,O0037,C001,2026-03-30,2026-04-29,21600,0,0,synthetic
