payment_id,invoice_id,payment_date,payment_amount,data_source
P0001,I0001,2026-03-25,36000,synthetic
P0002,I0002,2026-03-23,20400,synthetic
P0003,I0003,2026-04-08,28800,synthetic
P0004,I0004,2026-04-07,44200,synthetic
P0005,I0005,2026-03-25,57200,synthetic
P0006,I0006,2026-03-24,51200,synthetic
P0007,I0007,2026-03-25,36400,synthetic
P0008,I0008,2026-03-29,37800,synthetic
P0009,I0009,2026-03-31,20400,synthetic
P0010,I0010,2026-04-15,30000,synthetic
P0011,I0011,2026-04-16,49400,synthetic
P0012,I0012,2026-03-29,65000,synthetic
P0013,I0013,2026-03-29,60800,synthetic
P0014,I0014,2026-04-01,39200,synthetic
P0015,I0015,2026-04-07,37800,synthetic
P0016,I0016,2026-04-07,19200,synthetic
P0017,I0017,2026-04-21,28800,synthetic
P0018,I0018,2026-04-20,44200,synthetic
P0019,I0019,2026-04-07,57200,synthetic
P0020,I0020,2026-04-08,48000,synthetic
P0021,I0021,2026-04-07,36400,synthetic
P0022,I0022,2026-04-12,39600,synthetic
P0023,I0023,2026-04-13,20400,synthetic
P0024,I0024,2026-04-29,31200,synthetic
P0025,I0025,2026-04-29,46800,synthetic
P0026,I0026,2026-04-15,54600,synthetic
P0027,I0027,2026-04-12,54400,synthetic
P0028,I0028,2026-04-13,33600,synthetic
P0029,I0029,2026-04-21,39600,synthetic
P0030,I0030,2026-04-19,21600,synthetic
P0031,I0031,2026-05-06,30000,synthetic
P0032,I0032,2026-05-04,46800,synthetic
P0033,I0033,2026-04-21,54600,synthetic
P0034,I0034,2026-04-22,51200,synthetic
P0035,I0035,2026-04-22,36400,synthetic
P0036,I0036,2026-04-27,41400,synthetic
P0037,I0037,2026-04-28,21600,synthetic
P0038,I0038,2026-05-14,28800,synthetic
P0039,I0039,2026-05-11,49400,synthetic
P0040,I0040,2026-04-29,57200,synthetic
P0041,I0041,2026-04-27,51200,synthetic
P0042,I0042,2026-04-29,39200,synthetic
P0043,I0043,2026-05-04,39600,synthetic
P0044,I0044,2026-05-06,20400,synthetic
P0045,I0045,2026-05-21,32400,synthetic
P0046,I0046,2026-05-21,57200,synthetic
P0047,I0047,2026-05-03,57200,synthetic
P0048,I0048,2026-05-03,54400,synthetic
P0049,I0049,2026-05-06,39200,synthetic
P0050,I0050,2026-05-10,46800,synthetic
P0051,I0051,2026-05-12,24000,synthetic
P0052,I0052,2026-05-26,30000,synthetic
P0053,I0053,2026-05-26,46800,synthetic
P0054,I0054,2026-05-11,54600,synthetic
P0055,I0055,2026-05-12,54400,synthetic
P0056,I0056,2026-05-13,33600,synthetic
P0057,I0057,2026-05-19,36000,synthetic
P0058,I0058,2026-05-20,21600,synthetic
P0059,I0059,2026-06-02,27600,synthetic
P0060,I0060,2026-06-01,46800,synthetic
P0061,I0061,2026-05-18,67600,synthetic
P0062,I0062,2026-05-17,60800,synthetic
P0063,I0063,2026-05-19,39200,synthetic
P0064,I0064,2026-05-24,37800,synthetic
P0065,I0065,2026-05-24,19200,synthetic
P0066,I0066,2026-06-08,27600,synthetic
P0067,I0067,2026-06-09,46800,synthetic
P0068,I0068,2026-05-24,54600,synthetic
P0069,I0069,2026-05-25,51200,synthetic
P0070,I0070,2026-05-27,33600,synthetic
P0071,I0071,2026-06-02,37800,synthetic
P0072,I0072,2026-06-03,20400,synthetic
P0073,I0073,2026-06-18,28800,synthetic
P0074,I0074,2026-06-17,46800,synthetic
P0075,I0075,2026-06-15,59800,synthetic
P0076,I0077,2026-06-15,36400,synthetic
P0077,I0078,2026-06-07,36000,synthetic
P0078,I0079,2026-06-09,19200,synthetic
P0079,I0080,2026-06-25,27600,synthetic
P0080,I0081,2026-06-22,46800,synthetic
P0081,I0083,2026-06-23,48000,synthetic
P0082,I0085,2026-06-17,37800,synthetic
P0083,I0086,2026-06-16,19200,synthetic
P0084,I0087,2026-07-02,26400,synthetic
P0085,I0088,2026-06-30,44200,synthetic
P0086,I0089,2026-07-01,46800,synthetic
P0087,I0091,2026-07-01,28000,synthetic
P0088,I0092,2026-06-23,36000,synthetic
P0089,I0093,2026-06-21,19200,synthetic
P0090,I0094,2026-07-07,24000,synthetic
P0091,I0095,2026-07-09,39000,synthetic
P0092,I0097,2026-07-09,41600,synthetic
P0093,I0099,2026-06-28,36000,synthetic
P0094,I0100,2026-07-01,18000,synthetic
P0095,I0101,2026-07-15,21600,synthetic
P0096,I0102,2026-07-16,36400,synthetic
P0097,I0103,2026-07-17,41600,synthetic
P0098,I0105,2026-07-17,28000,synthetic
P0099,I0106,2026-07-05,36000,synthetic
P0100,I0107,2026-07-06,18000,synthetic
P0101,I0108,2026-07-22,21600,synthetic
P0102,I0109,2026-07-20,33800,synthetic
P0103,I0111,2026-07-25,32000,synthetic
P0104,I0113,2026-07-12,36000,synthetic
P0105,I0114,2026-07-12,19200,synthetic
P0106,I0115,2026-07-28,24000,synthetic
P0107,I0116,2026-07-27,39000,synthetic
P0108,I0117,2026-08-02,36400,synthetic
P0109,I0119,2026-08-02,25200,synthetic
P0110,I0120,2026-07-27,36000,synthetic
P0111,I0121,2026-07-20,18000,synthetic
P0112,I0127,2026-07-29,37800,synthetic
P0113,I0128,2026-07-26,19200,synthetic
P0114,I0134,2026-08-03,41400,synthetic
