order_id,order_date,customer_id,sku_id,quantity,revenue,gross_profit,return_flag,data_source
O0001,2026-02-23,C001,S001,20,36000,2700.0,0,synthetic
O0002,2026-02-23,C001,S002,17,20400,1530.0,0,synthetic
O0003,2026-02-23,C002,S002,24,28800,2160.0,0,synthetic
O0004,2026-02-23,C002,S003,17,44200,3315.0,0,synthetic
O0005,2026-02-23,C003,S003,22,57200,4290.0,0,synthetic
O0006,2026-02-23,C003,S004,16,51200,3840.0,0,synthetic
O0007,2026-02-23,C003,S005,13,36400,2730.0,0,synthetic
O0008,2026-03-02,C001,S001,21,37800,2835.0,0,synthetic
O0009,2026-03-02,C001,S002,17,20400,1530.0,0,synthetic
O0010,2026-03-02,C002,S002,25,30000,2250.0,0,synthetic
O0011,2026-03-02,C002,S003,19,49400,3705.0,0,synthetic
O0012,2026-03-02,C003,S003,25,65000,4875.0,0,synthetic
O0013,2026-03-02,C003,S004,19,60800,4560.0,0,synthetic
O0014,2026-03-02,C003,S005,14,39200,2940.0,0,synthetic
O0015,2026-03-09,C001,S001,21,37800,2835.0,0,synthetic
O0016,2026-03-09,C001,S002,16,19200,1440.0,0,synthetic
O0017,2026-03-09,C002,S002,24,28800,2160.0,0,synthetic
O0018,2026-03-09,C002,S003,17,44200,3315.0,0,synthetic
O0019,2026-03-09,C003,S003,22,57200,4290.0,0,synthetic
O0020,2026-03-09,C003,S004,15,48000,3600.0,0,synthetic
O0021,2026-03-09,C003,S005,13,36400,2730.0,0,synthetic
O0022,2026-03-16,C001,S001,22,39600,2970.0,0,synthetic
O0023,2026-03-16,C001,S002,17,20400,1530.0,0,synthetic
O0024,2026-03-16,C002,S002,26,31200,2340.0,0,synthetic
O0025,2026-03-16,C002,S003,18,46800,3510.0,0,synthetic
O0026,2026-03-16,C003,S003,21,54600,4095.0,0,synthetic
O0027,2026-03-16,C003,S004,17,54400,4080.0,0,synthetic
O0028,2026-03-16,C003,S005,12,33600,2520.0,0,synthetic
O0029,2026-03-23,C001,S001,22,39600,2970.0,0,synthetic
O0030,2026-03-23,C001,S002,18,21600,1620.0,0,synthetic
O0031,2026-03-23,C002,S002,25,30000,2250.0,0,synthetic
O0032,2026-03-23,C002,S003,18,46800,3510.0,0,synthetic
O0033,2026-03-23,C003,S003,21,54600,4095.0,0,synthetic
O0034,2026-03-23,C003,S004,16,51200,3840.0,0,synthetic
O0035,2026-03-23,C003,S005,13,36400,2730.0,0,synthetic
O0036,2026-03-30,C001,S001,23,41400,3105.0,0,synthetic
O0037,2026-03-30,C001,S002,18,21600,1620.0,0,synthetic
O0038,2026-03-30,C002,S002,24,28800,2160.0,0,synthetic
O0039,2026-03-30,C002,S003,19,49400,3705.0,0,synthetic
O0040,2026-03-30,C003,S003,22,57200,4290.0,0,synthetic
O0041,2026-03-30,C003,S004,16,51200,3840.0,0,synthetic
O0042,2026-03-30,C003,S005,14,39200,2940.0,0,synthetic
O0043,2026-04-06,C001,S001,22,39600,2970.0,0,synthetic
O0044,2026-04-06,C001,S002,17,20400,1530.0,0,synthetic
O0045,2026-04-06,C002,S002,27,32400,2430.0,0,synthetic
O0046,2026-04-06,C002,S003,22,57200,4290.0,0,synthetic
O0047,2026-04-06,C003,S003,22,57200,4290.0,0,synthetic
O0048,2026-04-06,C003,S004,17,54400,4080.0,0,synthetic
O0049,2026-04-06,C003,S005,14,39200,2940.0,0,synthetic
O0050,2026-04-13,C001,S001,26,46800,3510.0,0,synthetic
O0051,2026-04-13,C001,S002,20,24000,1800.0,0,synthetic
O0052,2026-04-13,C002,S002,25,30000,2250.0,0,synthetic
O0053,2026-04-13,C002,S003,18,46800,3510.0,0,synthetic
O0054,2026-04-13,C003,S003,21,54600,4095.0,0,synthetic
O0055,2026-04-13,C003,S004,17,54400,4080.0,0,synthetic
O0056,2026-04-13,C003,S005,12,33600,2520.0,0,synthetic
O0057,2026-04-20,C001,S001,20,36000,2700.0,0,synthetic
O0058,2026-04-20,C001,S002,18,21600,1620.0,0,synthetic
O0059,2026-04-20,C002,S002,23,27600,2070.0,0,synthetic
O0060,2026-04-20,C002,S003,18,46800,3510.0,0,synthetic
O0061,2026-04-20,C003,S003,26,67600,5070.0,0,synthetic
O0062,2026-04-20,C003,S004,19,60800,4560.0,0,synthetic
O0063,2026-04-20,C003,S005,14,39200,2940.0,0,synthetic
O0064,2026-04-27,C001,S001,21,37800,2835.0,0,synthetic
O0065,2026-04-27,C001,S002,16,19200,1440.0,0,synthetic
O0066,2026-04-27,C002,S002,23,27600,2070.0,0,synthetic
O0067,2026-04-27,C002,S003,18,46800,3510.0,0,synthetic
O0068,2026-04-27,C003,S003,21,54600,4095.0,0,synthetic
O0069,2026-04-27,C003,S004,16,51200,3840.0,0,synthetic
O0070,2026-04-27,C003,S005,12,33600,2520.0,0,synthetic
O0071,2026-05-04,C001,S001,21,37800,2835.0,0,synthetic
O0072,2026-05-04,C001,S002,17,20400,1530.0,0,synthetic
O0073,2026-05-04,C002,S002,24,28800,2160.0,0,synthetic
O0074,2026-05-04,C002,S003,18,46800,3510.0,0,synthetic
O0075,2026-05-04,C003,S003,23,59800,4485.0,0,synthetic
O0076,2026-05-04,C003,S004,17,54400,4080.0,0,synthetic
O0077,2026-05-04,C003,S005,13,36400,2730.0,0,synthetic
O0078,2026-05-11,C001,S001,20,36000,2700.0,0,synthetic
O0079,2026-05-11,C001,S002,16,19200,1440.0,0,synthetic
O0080,2026-05-11,C002,S002,23,27600,2070.0,0,synthetic
