risk_event_id,customer_id,order_id,order_date,order_amount,risk_score,risk_level,claim_boundary
DEMO-R-D07-13,DEMO-C08,D07-13,2026-02-01,202957.24,83.33333333333334,红色,风险分用于排序；合成数据结果不代表企业真实效果
DEMO-R-D07-17,DEMO-C08,D07-17,2026-06-01,199155.1,84.72222222222221,红色,风险分用于排序；合成数据结果不代表企业真实效果
DEMO-R-D08-12,DEMO-C09,D08-12,2026-01-01,219160.47,90.27777777777779,红色,风险分用于排序；合成数据结果不代表企业真实效果
DEMO-R-D08-15,DEMO-C09,D08-15,2026-04-01,197006.01,81.94444444444444,红色,风险分用于排序；合成数据结果不代表企业真实效果
DEMO-R-D09-12,DEMO-C10,D09-12,2026-01-01,229792.64,97.22222222222221,红色,风险分用于排序；合成数据结果不代表企业真实效果
DEMO-R-D09-14,DEMO-C10,D09-14,2026-03-01,199080.89,80.55555555555556,红色,风险分用于排序；合成数据结果不代表企业真实效果
DEMO-R-D09-15,DEMO-C10,D09-15,2026-04-01,231087.86,98.61111111111111,红色,风险分用于排序；合成数据结果不代表企业真实效果
DEMO-R-D09-16,DEMO-C10,D09-16,2026-05-01,221743.98,94.44444444444444,红色,风险分用于排序；合成数据结果不代表企业真实效果
DEMO-R-D10-12,DEMO-C11,D10-12,2026-01-01,219109.17,91.66666666666666,红色,风险分用于排序；合成数据结果不代表企业真实效果
DEMO-R-D10-13,DEMO-C11,D10-13,2026-02-01,199277.38,86.11111111111111,红色,风险分用于排序；合成数据结果不代表企业真实效果
DEMO-R-D10-15,DEMO-C11,D10-15,2026-04-01,215323.64,88.88888888888889,红色,风险分用于排序；合成数据结果不代表企业真实效果
DEMO-R-D10-16,DEMO-C11,D10-16,2026-05-01,207276.95,87.5,红色,风险分用于排序；合成数据结果不代表企业真实效果
DEMO-R-D10-17,DEMO-C11,D10-17,2026-06-01,239100.29,100.0,红色,风险分用于排序；合成数据结果不代表企业真实效果
DEMO-R-D11-13,DEMO-C12,D11-13,2026-02-01,226986.19,93.05555555555556,红色,风险分用于排序；合成数据结果不代表企业真实效果
DEMO-R-D11-15,DEMO-C12,D11-15,2026-04-01,231723.41,95.83333333333334,红色,风险分用于排序；合成数据结果不代表企业真实效果
