order_id,customer_id,order_date,order_amount,late_within_120d,data_source,prior_order_count,prior_late_rate,prior_sales_growth
D00-00,DEMO-C01,2025-01-01,71127.03,0,portable_synthetic_demo,0,0.0,0.0
D00-01,DEMO-C01,2025-02-01,91868.01,0,portable_synthetic_demo,1,0.0,0.0
D00-02,DEMO-C01,2025-03-01,80153.91,0,portable_synthetic_demo,2,0.0,0.2916047527922928
D00-03,DEMO-C01,2025-04-01,89650.02,0,portable_synthetic_demo,3,0.0,-0.12751010934056362
D00-04,DEMO-C01,2025-05-01,61682.18,0,portable_synthetic_demo,4,0.0,0.11847344689735036
D00-05,DEMO-C01,2025-06-01,94940.3,0,portable_synthetic_demo,5,0.0,-0.31196691311390673
D00-06,DEMO-C01,2025-07-01,65659.86,0,portable_synthetic_demo,6,0.0,0.5391852233497584
D00-07,DEMO-C01,2025-08-01,66245.39,0,portable_synthetic_demo,7,0.0,-0.30840896858341504
D00-08,DEMO-C01,2025-09-01,64515.12,0,portable_synthetic_demo,8,0.0,0.008917624862434961
D00-09,DEMO-C01,2025-10-01,71608.45,0,portable_synthetic_demo,9,0.0,-0.026119100514013078
D00-10,DEMO-C01,2025-11-01,63060.73,0,portable_synthetic_demo,10,0.0,0.10994833459195293
D00-11,DEMO-C01,2025-12-01,96191.52,0,portable_synthetic_demo,11,0.0,-0.11936747688296555
D00-12,DEMO-C01,2026-01-01,81097.78,0,portable_synthetic_demo,12,0.0,0.525379106775326
D00-13,DEMO-C01,2026-02-01,84964.25,0,portable_synthetic_demo,13,0.0,-0.15691341606827716
D00-14,DEMO-C01,2026-03-01,79482.53,1,portable_synthetic_demo,14,0.0,0.04767664416954449
D00-15,DEMO-C01,2026-04-01,66534.29,0,portable_synthetic_demo,15,0.06666666666666667,-0.06451795902394243
D00-16,DEMO-C01,2026-05-01,98864.9,0,portable_synthetic_demo,16,0.0625,-0.16290674189661558
D00-17,DEMO-C01,2026-06-01,89223.18,0,portable_synthetic_demo,17,0.058823529411764705,0.4859240250403214
D01-00,DEMO-C02,2025-01-01,84631.65,0,portable_synthetic_demo,0,0.0,0.0
D01-01,DEMO-C02,2025-02-01,109033.94,0,portable_synthetic_demo,1,0.0,0.0
D01-02,DEMO-C02,2025-03-01,86536.81,0,portable_synthetic_demo,2,0.0,0.28833527409662946
D01-03,DEMO-C02,2025-04-01,76274.1,0,portable_synthetic_demo,3,0.0,-0.2063314413842149
D01-04,DEMO-C02,2025-05-01,73929.58,0,portable_synthetic_demo,4,0.0,-0.11859357884812247
D01-05,DEMO-C02,2025-06-01,79683.41,0,portable_synthetic_demo,5,0.0,-0.030738088027259632
