order_id,customer_id,order_date,order_amount,late_within_120d,data_source
D00-00,DEMO-C01,2025-01-01,71127.03,0,portable_synthetic_demo
D00-01,DEMO-C01,2025-02-01,91868.01,0,portable_synthetic_demo
D00-02,DEMO-C01,2025-03-01,80153.91,0,portable_synthetic_demo
D00-03,DEMO-C01,2025-04-01,89650.02,0,portable_synthetic_demo
D00-04,DEMO-C01,2025-05-01,61682.18,0,portable_synthetic_demo
D00-05,DEMO-C01,2025-06-01,94940.3,0,portable_synthetic_demo
D00-06,DEMO-C01,2025-07-01,65659.86,0,portable_synthetic_demo
D00-07,DEMO-C01,2025-08-01,66245.39,0,portable_synthetic_demo
D00-08,DEMO-C01,2025-09-01,64515.12,0,portable_synthetic_demo
D00-09,DEMO-C01,2025-10-01,71608.45,0,portable_synthetic_demo
D00-10,DEMO-C01,2025-11-01,63060.73,0,portable_synthetic_demo
D00-11,DEMO-C01,2025-12-01,96191.52,0,portable_synthetic_demo
D00-12,DEMO-C01,2026-01-01,81097.78,0,portable_synthetic_demo
D00-13,DEMO-C01,2026-02-01,84964.25,0,portable_synthetic_demo
D00-14,DEMO-C01,2026-03-01,79482.53,1,portable_synthetic_demo
D00-15,DEMO-C01,2026-04-01,66534.29,0,portable_synthetic_demo
D00-16,DEMO-C01,2026-05-01,98864.9,0,portable_synthetic_demo
D00-17,DEMO-C01,2026-06-01,89223.18,0,portable_synthetic_demo
D01-00,DEMO-C02,2025-01-01,84631.65,0,portable_synthetic_demo
D01-01,DEMO-C02,2025-02-01,109033.94,0,portable_synthetic_demo
D01-02,DEMO-C02,2025-03-01,86536.81,0,portable_synthetic_demo
D01-03,DEMO-C02,2025-04-01,76274.1,0,portable_synthetic_demo
D01-04,DEMO-C02,2025-05-01,73929.58,0,portable_synthetic_demo
D01-05,DEMO-C02,2025-06-01,79683.41,0,portable_synthetic_demo
D01-06,DEMO-C02,2025-07-01,109385.5,0,portable_synthetic_demo
D01-07,DEMO-C02,2025-08-01,81908.05,0,portable_synthetic_demo
D01-08,DEMO-C02,2025-09-01,100086.73,0,portable_synthetic_demo
D01-09,DEMO-C02,2025-10-01,87928.44,0,portable_synthetic_demo
D01-10,DEMO-C02,2025-11-01,91058.92,0,portable_synthetic_demo
D01-11,DEMO-C02,2025-12-01,85135.91,0,portable_synthetic_demo
D01-12,DEMO-C02,2026-01-01,69880.97,0,portable_synthetic_demo
D01-13,DEMO-C02,2026-02-01,106476.98,1,portable_synthetic_demo
D01-14,DEMO-C02,2026-03-01,106552.42,0,portable_synthetic_demo
D01-15,DEMO-C02,2026-04-01,77237.88,0,portable_synthetic_demo
D01-16,DEMO-C02,2026-05-01,71652.78,0,portable_synthetic_demo
D01-17,DEMO-C02,2026-06-01,84902.72,0,portable_synthetic_demo
D02-00,DEMO-C03,2025-01-01,104375.88,0,portable_synthetic_demo
D02-01,DEMO-C03,2025-02-01,95689.37,0,portable_synthetic_demo
D02-02,DEMO-C03,2025-03-01,87955.21,0,portable_synthetic_demo
D02-03,DEMO-C03,2025-04-01,89324.66,0,portable_synthetic_demo
D02-04,DEMO-C03,2025-05-01,116427.23,0,portable_synthetic_demo
D02-05,DEMO-C03,2025-06-01,97374.54,0,portable_synthetic_demo
D02-06,DEMO-C03,2025-07-01,83638.63,0,portable_synthetic_demo
D02-07,DEMO-C03,2025-08-01,82830.08,0,portable_synthetic_demo
D02-08,DEMO-C03,2025-09-01,114773.11,0,portable_synthetic_demo
D02-09,DEMO-C03,2025-10-01,98099.12,0,portable_synthetic_demo
D02-10,DEMO-C03,2025-11-01,83963.44,0,portable_synthetic_demo
D02-11,DEMO-C03,2025-12-01,94533.4,0,portable_synthetic_demo
D02-12,DEMO-C03,2026-01-01,83316.09,0,portable_synthetic_demo
D02-13,DEMO-C03,2026-02-01,125723.88,0,portable_synthetic_demo
D02-14,DEMO-C03,2026-03-01,101908.25,0,portable_synthetic_demo
D02-15,DEMO-C03,2026-04-01,127600.74,0,portable_synthetic_demo
D02-16,DEMO-C03,2026-05-01,84868.06,0,portable_synthetic_demo
D02-17,DEMO-C03,2026-06-01,91500.24,0,portable_synthetic_demo
D03-00,DEMO-C04,2025-01-01,121749.09,0,portable_synthetic_demo
D03-01,DEMO-C04,2025-02-01,126346.67,0,portable_synthetic_demo
D03-02,DEMO-C04,2025-03-01,139081.73,0,portable_synthetic_demo
D03-03,DEMO-C04,2025-04-01,121676.21,0,portable_synthetic_demo
D03-04,DEMO-C04,2025-05-01,129609.92,0,portable_synthetic_demo
D03-05,DEMO-C04,2025-06-01,140821.86,0,portable_synthetic_demo
D03-06,DEMO-C04,2025-07-01,118829.84,1,portable_synthetic_demo
